title,url,subject,modality,price,duration,registration,description
Surgical Leadership,https://pll.harvard.edu/course/surgical-leadership,Health & Medicine,In-Person,"$20,500",,Starts Apr 26,
Aligning Strategy and Sales,https://pll.harvard.edu/course/aligning-strategy-and-sales,Business,In-Person,"$16,000",1 week,Starts Jul 26,
"Spirituality, Religion, and Mental Health",https://pll.harvard.edu/course/spirituality-religion-and-mental-health,Health & Medicine,Online Live,$575,,Register by Mar 6,
Improving your Memory,https://pll.harvard.edu/course/improving-your-memory,Health & Medicine,Online,$30,2 weeks,Available now,
Managing Yourself and Leading Others,https://pll.harvard.edu/course/managing-yourself-and-leading-others-1/2026-06-0,Business,Online Live,"$2,950",,Register by May 26,Evolve your leadership style to lead better and motivate others to accomplish your company's goals.
Agile Leadership: Transforming Mindsets and Capabilities in Your Organization,https://pll.harvard.edu/course/agile-leadership-transforming-mindsets-and-capabilities-your-organization-0/2026-08,Business,In-Person,"$4,200",,Register by Aug 23,"Learn how you can harness the agile revolution to lead more flexible, innovative, and successful teams."
Cultivating Power for Positive Impact,https://pll.harvard.edu/course/cultivating-power-positive-impact,Business,Online,$175,,Available now,
Biomarkers in Drug Development: Classification and Applications,https://pll.harvard.edu/course/biomarkers-drug-development-classification-and-applications,Health & Medicine,Online,$495,,Available now,
Leadership and Character in Uncertain Times,https://pll.harvard.edu/course/leadership-and-character-uncertain-times,Social Sciences,Online,"$4,300",5 weeks,Register by Jun 7,
Strategic Sales Management,https://pll.harvard.edu/course/strategic-sales-management-0,Business,In-Person,"$3,200",,Register by Mar 24,"Learn proven sales management strategies and techniques to lead yourself, your direct reports, and your organization."
Influence and Persuasion in Leadership,https://pll.harvard.edu/course/influence-and-persuasion-leadership-0/2026-07,Business,In-Person,"$3,200",,Register by Jul 14,Improve your ability to influence and motivate your audience to accomplish your goals.
Financial Analysis and Valuation for Lawyers,https://pll.harvard.edu/course/financial-analysis-and-valuation-lawyers,Social Sciences,Online,"$1,600",5 weeks,Opens May 6,
China Humanities: The Individual in Chinese Culture,https://pll.harvard.edu/course/china-humanities-individual-chinese-culture,Humanities,Online,Free*,,Available now,
Leadership for Social Impact,https://pll.harvard.edu/course/leadership-social-impact,Science,In-Person,"$7,100",,Register by Apr 20,
Leadership Development for Physicians in Academic Health Centers,https://pll.harvard.edu/course/leadership-development-physicians-academic-health-centers-3,Health & Medicine,Blended,"$9,500",,Register by Feb 27,
Financial Analysis and Valuation for Lawyers,https://pll.harvard.edu/course/financial-analysis-and-valuation-lawyers/2026-08,Social Sciences,Online,"$1,600",,Opens Aug 12,
Leading More Effective Teams,https://pll.harvard.edu/course/leading-more-effective-teams-0/2026-11,Business,In-Person,"$3,200",,Register by Oct 27,Enhance your team’s productivity to boost your organization’s capabilities.
Changing the Game: Negotiation and Competitive Decision-Making,https://pll.harvard.edu/course/changing-game-negotiation-and-competitive-decision-making,Business,In-Person,"$15,500",1 week,Starts Mar 22,
Leading Global Businesses,https://pll.harvard.edu/course/leading-global-businesses-0,Business,In-Person,"$18,000",1 week,Starts May 31,
Cybersecurity: Managing Risk in the Information Age,https://pll.harvard.edu/course/cybersecurity-managing-risk-information-age,Business,Online,"$3,518",9 weeks,Opens Apr 29,
Integrated Project Management,https://pll.harvard.edu/course/integrated-project-management,Business,In-Person,"$2,250 - $2,500",,Register by Mar 15,
Becoming a Leader: Developing Your Style and Making Sound Decisions,https://pll.harvard.edu/course/becoming-leader-developing-your-style-and-making-sound-decisions-0,Business,In-Person,"$3,200",,Register by Mar 22,Explore the symbiotic relationship between decision making and leadership to maximize organizational performance.
Influence and Persuasion in Leadership,https://pll.harvard.edu/course/influence-and-persuasion-leadership-0/2026-11,Business,In-Person,"$3,200",,Register by Nov 10,Improve your ability to influence and motivate your audience to accomplish your goals.
Authentic Leader Development,https://pll.harvard.edu/course/authentic-leader-development/2026-12,Business,In-Person,"$17,000",1 week,Starts Dec 6,
Building a Winning Mindset: Flexibility and Resiliency at Work,https://pll.harvard.edu/course/building-winning-mindset-flexibility-and-resiliency-work,Business,Online,$175,,Available now,
Executive Leadership Coaching,https://pll.harvard.edu/course/executive-leadership-coaching/2026-08,Business,In-Person,"$3,200",,Register by Jul 26,"Deepen your executive coaching expertise. Apply the theories and principles of neuroscience, human development, and somatic (body-oriented) coaching to transform your executive and leadership coaching skills."
Private Equity and Venture Capital,https://pll.harvard.edu/course/private-equity-and-venture-capital,Business,In-Person,"$12,750",1 week,Starts Mar 4,
Negotiation Skills: Strategies for Increased Effectiveness,https://pll.harvard.edu/course/negotiation-skills-strategies-increased-effectiveness-0/2026-07,Business,In-Person,"$3,200",,Register by Jul 7,Enhance your ability to negotiate through effective techniques and skills.
Lifestyle and Wellness Coaching,https://pll.harvard.edu/course/lifestyle-and-wellness-coaching,Health & Medicine,Online,"$2,900",,Register by Mar 26,
Effective Organizational Communciation,https://pll.harvard.edu/course/effective-organizational-communciation/2026-11,Business,In-Person,"$3,200",,Register by Oct 25,"Through small group activities and real-time feedback, you will test out new approaches and learn to communicate to inspire action."
Strategy: Building and Sustaining Competitive Advantage,https://pll.harvard.edu/course/strategy-building-and-sustaining-competitive-advantage,Business,In-Person,"$18,000",1 week,Starts May 3,
Innovation Strategy: Tools and Frameworks for Business,https://pll.harvard.edu/course/innovation-strategy-tools-and-frameworks-business/2026-06,Business,Online,"$1,850",6 weeks,Opens Jun 10,
"Literati China: Examinations, Neo-Confucianism, and Later Imperial China",https://pll.harvard.edu/course/china-part-4-new-national-culture,Humanities,Online,Free*,15 weeks,Available now,
Judaism Through Its Scriptures,https://pll.harvard.edu/course/judaism-through-its-scriptures,Humanities,Online,Free*,4 weeks,Available now,
Pyramids of Giza: Ancient Egyptian Art and Archaeology,https://pll.harvard.edu/course/pyramids-giza-ancient-egyptian-art-and-archaeology,Art & Design,Online,Free*,8 weeks,Available now,
Genetics – Essentials,https://pll.harvard.edu/course/genetics-essentials,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Structure and Function of Argument: Introduction to Critical Thinking,https://pll.harvard.edu/course/structure-and-function-argument-introduction-critical-thinking,Humanities,Online,Free*,8 weeks,Available now,
We the People: Civic Engagement in a Constitutional Democracy,https://pll.harvard.edu/course/we-people-civic-engagement-constitutional-democracy,Social Sciences,Online,$0,7 weeks,Available now,
Healthy Eating for Type 2 Diabetes,https://pll.harvard.edu/course/healthy-eating-type-2-diabetes,Health & Medicine,Online,$30,2 weeks,Available now,
Public Leadership Credential,https://pll.harvard.edu/course/public-leadership-credential,Social Sciences,Online,"$1,149",6 weeks,Register by Mar 12,
Pharmacology – Essentials,https://pll.harvard.edu/course/pharmacology-essentials,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Leading with Finance,https://pll.harvard.edu/course/leading-finance,Business,Online,"$1,850",6 weeks,Available now,
Communication Strategies: Presenting with Impact,https://pll.harvard.edu/course/communication-strategies-presenting-impact-0/2026-12,Business,In-Person,"$3,200",,Register by Nov 29,"Gain the skills needed to engage, inform and inspire others — and improve your ability to communicate as a leader."
Creative Thinking: Innovative Solutions to Complex Challenges,https://pll.harvard.edu/course/creative-thinking-innovative-solutions-complex-challenges-0,Business,In-Person,"$3,200",,Register by Aug 18,Learn how to grow a culture of creativity to innovate competitive solutions.
Authentic Leadership,https://pll.harvard.edu/course/authentic-leadership-0/2026-09,Business,In-Person,"$3,200",,Register by Aug 25,"Develop mindfulness and authenticity to build trust, create engagement, and promote productivity."
Creative Thinking: Innovative Solutions to Complex Challenges,https://pll.harvard.edu/course/creative-thinking-innovative-solutions-complex-challenges-0/2026-12,Business,In-Person,"$3,200",,Register by Nov 24,Learn how to grow a culture of creativity to innovate competitive solutions.
Art and Practice of Leadership Development,https://pll.harvard.edu/course/art-and-practice-leadership-development,Social Sciences,In-Person,"$11,300",1 week,Register by Apr 6,
Strategy Execution for Public Leadership,https://pll.harvard.edu/course/strategy-execution-public-leadership/2026-06,Business,Online,"$1,600",5 weeks,Opens Jun 10,
Training to Teach in Medicine,https://pll.harvard.edu/course/training-teach-medicine,Education & Teaching,Online Live,"$9,550",,Starts Nov 12,
Shakespeare’s Hamlet: The Ghost,https://pll.harvard.edu/course/shakespeares-hamlet-ghost,Humanities,Online,Free*,4 weeks,Available now,
Strategic Marketing for Driving Growth,https://pll.harvard.edu/course/strategic-marketing-driving-growth,Business,In-Person,"$15,550",1 week,Starts Sep 27,
Data Science: Wrangling,https://pll.harvard.edu/course/data-science-wrangling,Data Science,Online,Free*,8 weeks,Available now,
Nucleic Acid Therapeutics,https://pll.harvard.edu/course/nucleic-acid-therapeutics,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Stress Management and Resiliency Training (SMART) Program,https://pll.harvard.edu/course/stress-management-and-resiliency-training-smart-program,Health & Medicine,Online Live,$700,,Register by Mar 4,
Business Analytics,https://pll.harvard.edu/course/business-analytics,Business,Online,"$1,850",8 weeks,Available now,
Data Science: Building Machine Learning Models,https://pll.harvard.edu/course/data-science-building-machine-learning-models,Computer Science,Online,Free*,8 weeks,Available now,
Health Care Economics,https://pll.harvard.edu/course/health-care-economics,Health & Medicine,Online,"$1,600",6 weeks,Opens May 27,
Managing Yourself and Leading Others,https://pll.harvard.edu/course/managing-yourself-and-leading-others-1/2026-04,Business,In-Person,"$3,200",,Register by Mar 31,Evolve your leadership style to lead better and motivate others to accomplish your company's goals.
Harvard Bok Higher Education Teaching Certificate,https://pll.harvard.edu/course/harvard-bok-higher-education-teaching-certificate,Education & Teaching,Online,"$2,640",9 weeks,Starts Apr 1,
Big Data for Social Good,https://pll.harvard.edu/course/big-data-social-good/2026-06,Social Sciences,Online,$950,,Opens Jun 3,
Sustainable Business Strategy,https://pll.harvard.edu/course/sustainable-business-strategy,Business,Online,"$1,850",3 weeks,Available now,
High Potentials Leadership Program,https://pll.harvard.edu/course/high-potentials-leadership-program/2026-10,Business,In-Person,"$18,500",1 week,Starts Oct 18,
"Women Making History: Ten Objects, Many Stories",https://pll.harvard.edu/course/women-making-history-ten-objects-many-stories,Humanities,Online,Free*,8 weeks,Available now,
Investment Decisions and Behavioral Finance (On-Campus),https://pll.harvard.edu/course/investment-decisions-and-behavioral-finance-campus-0,Business,In-Person,"$6,100",,Register by Oct 7,
Cancer Genomics and Precision Oncology,https://pll.harvard.edu/course/cancer-genomics-and-precision-oncology,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Make Better Decisions: The Psychology of Blind Spots for Leaders and Teams,https://pll.harvard.edu/course/make-better-decisions-psychology-blind-spots-leaders-and-teams,Social Sciences,Online,$550,,Opens May 20,
Data Science: R Basics,https://pll.harvard.edu/course/data-science-r-basics,Data Science,Online,Free*,,Available now,
Making Corporate Boards More Effective,https://pll.harvard.edu/course/making-corporate-boards-more-effective/2026-10,Business,In-Person,"$13,000",1 week,Starts Oct 21,
Introduction to Bioconductor,https://pll.harvard.edu/course/data-analysis-life-sciences-5-introduction-bioconductor-annotation-and-analysis-genomes-and,Data Science,Online,Free*,4 weeks,Available now,
Consumer Behavior: Using Neuromarketing to Predict and Influence Customers,https://pll.harvard.edu/course/consumer-behavior-using-neuromarketing-predict-and-influence-customers-0,Business,In-Person,"$3,200",,Register by May 3,Update your marketing skills and gain insights into consumer behavior.
Sports Medicine,https://pll.harvard.edu/course/sports-medicine,Health & Medicine,Online Live,$895,,Starts Mar 18,
Open Innovation,https://pll.harvard.edu/course/open-innovation/2026-07,Business,Online,$950,6 weeks,Opens Jul 8,
"PredictionX: Omens, Oracles & Prophecies",https://pll.harvard.edu/course/predictionx-omens-oracles-prophecies,Humanities,Online,Free*,1 week,Available now,
Strategy Execution,https://pll.harvard.edu/course/strategy-execution,Business,Online,"$1,850",8 weeks,Available now,
Leadership Decision Making,https://pll.harvard.edu/course/leadership-decision-making/2027-01,Social Sciences,Online,"$6,600",2 weeks,Register by Dec 11,
"Justice Today: Money, Markets, and Morals (edX)",https://pll.harvard.edu/course/justice-today-money-markets-and-morals-edx,Humanities,Online,Free*,8 weeks,Available now,
Nonprofit Management and Leadership: Strategies for Organizational Success,https://pll.harvard.edu/course/nonprofit-management-and-leadership-strategies-organizational-success,Social Sciences,Online,"$4,900",8 weeks,Register by Jul 27,
Data Science: Capstone,https://pll.harvard.edu/course/data-science-capstone,Data Science,Online,Free*,2 weeks,Available now,
Anxiety and Stress Disorders,https://pll.harvard.edu/course/anxiety-and-stress-disorders,Health & Medicine,Online,$30,2 weeks,Available now,
Agile Leadership: Transforming Mindsets and Capabilities in Your Organization,https://pll.harvard.edu/course/agile-leadership-transforming-mindsets-and-capabilities-your-organization-0,Business,In-Person,"$4,200",,Register by Apr 5,"Learn how you can harness the agile revolution to lead more flexible, innovative, and successful teams."
Fundamentals of TinyML,https://pll.harvard.edu/course/fundamentals-tinyml/2026-02,Computer Science,Online,$0,,Available now,
Negotiation Essentials Online,https://pll.harvard.edu/course/negotiation-essentials-online/2026-05,Business,Online,"$2,497",,Starts May 20,
Religious Literacy: Traditions and Scriptures,https://pll.harvard.edu/course/religious-literacy-traditions-and-scriptures,Humanities,Online,Free*,4 weeks,Available now,
Implementing Health Care AI into Clinical Practice,https://pll.harvard.edu/course/implementing-health-care-ai-clinical-practice,Computer Science,Online,"$2,600",,Register by Jun 5,
Modern Masterpieces of World Literature,https://pll.harvard.edu/course/modern-masterpieces-world-literature,Humanities,Online,Free*,,Available now,
MLOps for Scaling TinyML,https://pll.harvard.edu/course/mlops-scaling-tinyml,Programming,Online,Free*,7 weeks,Available now,
Stress Management,https://pll.harvard.edu/course/stress-management,Health & Medicine,Online,$30,2 weeks,Available now,
Leading Your Organization’s AI and Digital Transformation,https://pll.harvard.edu/course/leading-your-organizations-ai-and-digital-transformation,Business,In-Person,"$4,200",,Register by May 24,
Real Estate Negotiation Essentials: Dealmaking Techniques & Simulation,https://pll.harvard.edu/course/real-estate-negotiation-essentials-dealmaking-techniques-simulation,Business,Online,"$1,250 - $1,450",,Register by Mar 24,
Lose Weight and Keep It Off,https://pll.harvard.edu/course/lose-weight-and-keep-it,Health & Medicine,Online,$30,2 weeks,Available now,
Joint Pain Relief Workout,https://pll.harvard.edu/course/joint-pain-relief-workout,Health & Medicine,Online,$30,,Available now,
Data Science for Business,https://pll.harvard.edu/course/data-science-business/2026-06,Business,Online,"$1,600",4 weeks,Opens Jun 10,
Supply Chain Management: Frameworks for Resilient and Agile Supply Chains,https://pll.harvard.edu/course/supply-chain-management-frameworks-resilient-and-agile-supply-chains-0,Business,In-Person,"$3,200",,Register by Jul 22,"Learn how to use supply chain analytics to reduce costs, manage inventory as consumer needs evolve, and make strategic decisions."
Leadership for the 21st Century,https://pll.harvard.edu/course/leadership-21st-century/2027-01,Social Sciences,In-Person,"$12,900",1 week,Register by Nov 23,
Global Clinical Scholars Research Training,https://pll.harvard.edu/course/global-clinical-scholars-research-training,Health & Medicine,Blended,"$18,500",,Starts Nov 2,
Global Health Case Studies from a Biosocial Perspective,https://pll.harvard.edu/course/global-health-case-studies-biosocial-perspective,Health & Medicine,Online,Free*,,Available now,
Case Studies in Functional Genomics,https://pll.harvard.edu/course/data-analysis-life-sciences-7-case-studies-functional-genomics,Data Science,Online,Free*,5 weeks,Available now,
Masterpieces of World Literature,https://pll.harvard.edu/course/masterpieces-of-world-literature,Humanities,Online,Free*,,Available now,
Negotiation Skills: Strategies for Increased Effectiveness,https://pll.harvard.edu/course/negotiation-skills-strategies-increased-effectiveness-0,Business,In-Person,"$3,200",,Register by Apr 28,Enhance your ability to negotiate through effective techniques and skills.
Data Privacy and Technology,https://pll.harvard.edu/course/data-privacy-and-technology/2026-06,Data Science,Online,$950,5 weeks,Opens Jun 10,
Improving Your Sleep: Guide to a good night's rest,https://pll.harvard.edu/course/improving-your-sleep-guide-good-nights-rest,Health & Medicine,Online,$30,2 weeks,Available now,
Food Fermentation: The Science of Cooking with Microbes,https://pll.harvard.edu/course/food-fermentation-science-cooking-microbes/2026-02,Science,Online,Free*,,Available now,
Global Business,https://pll.harvard.edu/course/global-business,Business,Online,"$1,850",4 weeks,Available now,
Product Management: From Design to Launch,https://pll.harvard.edu/course/product-management-design-launch-0,Business,In-Person,"$3,200",,Register by Mar 10,Learn the essential skills of product management and drive business growth
Data Science: Probability,https://pll.harvard.edu/course/data-science-probability,Data Science,Online,Free*,,Available now,
Digital Health,https://pll.harvard.edu/course/digital-health,Health & Medicine,Online,"$1,600",4 weeks,Opens May 13,
Creating Modern China: The Republican Period to the Present,https://pll.harvard.edu/course/china-part-8-creating-modern-china-birth-nation,Humanities,Online,Free*,15 weeks,Available now,
Data Science: Probability,https://pll.harvard.edu/course/data-science-probability/2026-04,Data Science,Online,Free*,8 weeks,Opens Apr 15,
Global Health Delivery,https://pll.harvard.edu/course/global-health-delivery,Health & Medicine,Online,"$1,680",11 weeks,Starts Apr 29,
Succeeding as a Strategic CFO,https://pll.harvard.edu/course/succeeding-strategic-cfo,Business,In-Person,"$12,500",1 week,Starts Apr 26,
The Einstein Revolution,https://pll.harvard.edu/course/einstein-revolution,Humanities,Online,Free*,,Available now,
Innovation and Strategy,https://pll.harvard.edu/course/innovation-and-strategy-0/2026-07,Business,In-Person,"$3,200",,Register by Jul 5,Strengthen your organization’s capacity to drive innovation and achieve greater results.
Innovation and Strategy,https://pll.harvard.edu/course/innovation-and-strategy-0,Business,In-Person,"$3,200",,Register by Apr 19,Strengthen your organization’s capacity to drive innovation and achieve greater results.
Emotional Intelligence in Leadership,https://pll.harvard.edu/course/emotional-intelligence-leadership-0/2026-11,Business,Online Live,"$3,050",,Register by Nov 15,Expand your leadership capacity and create an environment that fosters emotional intelligence.
CS50's Introduction to Cybersecurity,https://pll.harvard.edu/course/cs50s-introduction-cybersecurity,Computer Science,Online,Free*,5 weeks,Available now,
Financial Fluency for Business Leaders,https://pll.harvard.edu/course/financial-fluency-business-leaders,Business,In-Person,"$3,200",,Register by Sep 27,"Strengthen strategic financial skills to drive business impact. Learn to analyze financial data, make informed decisions, and communicate effectively."
Women on Boards: Succeeding as a Corporate Director,https://pll.harvard.edu/course/women-boards-succeeding-corporate-director,Business,In-Person,"$14,500",1 week,Starts Nov 30,
Competing in the Age of AI,https://pll.harvard.edu/course/competing-age-ai,Business,In-Person,"$12,000",,Starts Jun 7,
Strategic Management of Regulatory and Enforcement Agencies,https://pll.harvard.edu/course/strategic-management-regulatory-and-enforcement-agencies-0,Social Sciences,In-Person,"$11,300",1 week,Register by Jul 22,
AI Strategy for Business Leaders: From Hype to Impact,https://pll.harvard.edu/course/ai-strategy-business-leaders-hype-impact-0/2026-10-0,Business,Online Live,"$2,950",,Register by Oct 21,Leverage new technologies to build value for your organization.
Business Strategy: Evaluating and Executing the Strategic Plan,https://pll.harvard.edu/course/business-strategy-evaluating-and-executing-strategic-plan-0,Business,Online Live,"$2,950",,Register by Mar 23,Explore the concepts and tools of strategic business management. Learn more about the organizational strategy within which managers make decisions and how it relates to competitive advantage.
Gene Therapy,https://pll.harvard.edu/course/gene-therapy,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Clinical Endocrinology,https://pll.harvard.edu/course/clinical-endocrinology,Health & Medicine,Online Live,"$1,350",,Starts Mar 21,
Leadership and Ethics: Moral Leadership in Personal Practice,https://pll.harvard.edu/course/leadership-and-ethics-moral-leadership-personal-practice,Social Sciences,Online,"$1,149",6 weeks,Register by Mar 12,
Emotional Intelligence in Leadership,https://pll.harvard.edu/course/emotional-intelligence-leadership-0/2026-08,Business,In-Person,"$3,300",,Register by Jul 26,Expand your leadership capacity and create an environment that fosters emotional intelligence.
Communication Strategies: Presenting with Impact,https://pll.harvard.edu/course/communication-strategies-presenting-impact-0,Business,In-Person,"$3,200",,Register by Mar 24,"Gain the skills needed to engage, inform and inspire others — and improve your ability to communicate as a leader."
Audit Committees in a New Era of Governance,https://pll.harvard.edu/course/audit-committees-new-era-governance,Business,In-Person,"$8,250",1 week,Starts Jul 19,
Leaders of Learning Essentials,https://pll.harvard.edu/course/leaders-learning-essentials,Education & Teaching,Online,Free*,5 weeks,Available now,
Entropy and Equilibria,https://pll.harvard.edu/course/entropy-and-equilibria,Science,Online,Free*,10 weeks,Available now,
Annual Review of Geriatric Medicine,https://pll.harvard.edu/course/annual-review-geriatric-medicine,Health & Medicine,Online Live,"$1,075",,Register by Mar 3,
Design Thinking: Creating Better Customer Experiences,https://pll.harvard.edu/course/design-thinking-creating-better-customer-experiences-0,Business,In-Person,"$4,200",,Register by Jul 19,Learn how the principles of design thinking can help fuel the success of your organization.
Building Personal Resilience: Managing Anxiety and Mental Health,https://pll.harvard.edu/course/building-personal-resilience-managing-anxiety-and-mental-health,Health & Medicine,Online,Free*,6 weeks,Available now,
Launching New Ventures,https://pll.harvard.edu/course/launching-new-ventures,Business,In-Person,"$19,250",1 week,Starts Feb 21,
Leadership in Corporate Counsel,https://pll.harvard.edu/course/leadership-corporate-counsel-0,Business,In-Person,"$14,900",,Register by Apr 10,
Nonprofit Financial Stewardship: Concepts and Techniques for Strategic Management,https://pll.harvard.edu/course/nonprofit-financial-stewardship-concepts-and-techniques-strategic-management,Social Sciences,Online,"$4,100",4 weeks,Register by Sep 19,
Data Science: Visualization,https://pll.harvard.edu/course/data-science-visualization/2026-04,Data Science,Online,$0,8 weeks,Opens Apr 15,
Women in Leadership: Online Program for Emerging Leaders,https://pll.harvard.edu/course/women-leadership-online-program-emerging-leaders-0/2026-10,Business,Online Live,"$3,050",,Register by Oct 5,Become a strategic leader by developing your key strengths and attributes.
Negotiation Skills: Strategies for Increased Effectiveness,https://pll.harvard.edu/course/negotiation-skills-strategies-increased-effectiveness-0/2026-09,Business,In-Person,"$3,200",,Register by Sep 20,Enhance your ability to negotiate through effective techniques and skills.
Drug Discovery and Development,https://pll.harvard.edu/course/drug-discovery-and-development,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Building Organizational Cultures: A Framework for Leaders,https://pll.harvard.edu/course/building-organizational-cultures-framework-leaders-0,Business,In-Person,"$3,200",,Register by May 10,Critically assess how culture affects organizations and learn how to create an environment that promotes advancement of people.
Introduction to Probability,https://pll.harvard.edu/course/introduction-probability,Mathematics,Online,Free*,,Available now,
"Future Library Design: Enduring Principles, Contemporary Processes, & Emerging Possibilities",https://pll.harvard.edu/course/future-library-design-enduring-principles-contemporary-processes-emerging-possibilities,Art & Design,In-Person,"$2,190 - $2,390",1 week,Register by May 31,
Backyard Meteorology: The Science of Weather,https://pll.harvard.edu/course/backyard-meteorology-science-weather,Science,Online,Free*,6 weeks,Available now,
Update on Severe Asthma,https://pll.harvard.edu/course/update-severe-asthma,Health & Medicine,In-Person,$350,,Register by Mar 13,
Leading Successful Programs: Using Evidence to Assess Effectiveness,https://pll.harvard.edu/course/leading-successful-programs-using-evidence-assess-effectiveness-0/2026-07,Social Sciences,In-Person,"$10,900",1 week,Register by May 20,
Masterpieces of World Literature,https://pll.harvard.edu/course/masterpieces-of-world-literature/2026-03,Humanities,Online,Free*,12 weeks,Opens Mar 11,
Leadership Decision Making,https://pll.harvard.edu/course/leadership-decision-making,Social Sciences,In-Person,"$11,300",1 week,Register by Apr 20,
Authentic Leadership,https://pll.harvard.edu/course/authentic-leadership-0/2026-07,Business,In-Person,"$3,200",,Register by Jul 12,"Develop mindfulness and authenticity to build trust, create engagement, and promote productivity."
Transforming Health Care Education: The Science of Learning and Art of Teaching,https://pll.harvard.edu/course/transforming-health-care-education-science-learning-and-art-teaching,Education & Teaching,Online,"$2,990",,Register by Mar 24,
Transforming Customer Experiences,https://pll.harvard.edu/course/transforming-customer-experiences-0,Business,Online,"$1,850",4 weeks,Available now,
Health Care Economics,https://pll.harvard.edu/course/health-care-economics/2026-08,Health & Medicine,Online,"$1,600",6 weeks,Opens Aug 19,
Resilient Leadership,https://pll.harvard.edu/course/resilient-leadership,Business,Online,Free*,,Available now,
Driving Strategic Decisions—Virtual,https://pll.harvard.edu/course/driving-strategic-decisions-virtual,Business,Online,"$7,250",6 weeks,Starts Feb 3,
Real Estate Finance Fundamentals,https://pll.harvard.edu/course/real-estate-finance-fundamentals,Business,In-Person,"$2,150",,Register by Jun 10,
"Compensation Committees: New Challenges, New Solutions",https://pll.harvard.edu/course/compensation-committees-new-challenges-new-solutions/2026-10,Business,In-Person,"$8,250",1 week,Starts Oct 25,
Major Events: Navigating Opportunities and Challenges,https://pll.harvard.edu/course/major-events-navigating-opportunities-and-challenges,Social Sciences,In-Person,"$7,100",,Register by Mar 20,
"CitiesX: The Past, Present and Future of Urban Life",https://pll.harvard.edu/course/citiesx-past-present-and-future-urban-life,Social Sciences,Online,Free*,11 weeks,Available now,
Managing Yourself and Leading Others,https://pll.harvard.edu/course/managing-yourself-and-leading-others-1/2026-10,Business,In-Person,"$3,200",,Register by Sep 27,Evolve your leadership style to lead better and motivate others to accomplish your company's goals.
Deploying TinyML,https://pll.harvard.edu/course/deploying-tinyml,Computer Science,Online,Free*,6 weeks,Available now,
AI in Action,https://pll.harvard.edu/course/ai-action,Social Sciences,Online,"$2,495",,Register by Apr 27,
AI in Medicine: Medical Image Interpretation,https://pll.harvard.edu/course/ai-medicine-medical-image-interpretation,Computer Science,Online,$495,,Available now,
CS50's Introduction to Programming with Scratch,https://pll.harvard.edu/course/cs50s-introduction-programming-scratch,Computer Science,Online,Free*,3 weeks,Available now,
Business Management: From Management to Leadership,https://pll.harvard.edu/course/business-management-management-leadership-0/2026-09,Business,In-Person,"$6,150",,Register by Sep 20,Expand your business acumen to reach your full potential as a manager and leader within your organization.
Negotiation and Leadership,https://pll.harvard.edu/course/negotiation-and-leadership-10/2026-05,Business,In-Person,"$5,497",,Starts May 11,
Controlling your Blood Pressure,https://pll.harvard.edu/course/controlling-your-blood-pressure,Health & Medicine,Online,$30,2 weeks,Available now,
Advanced Business Strategy: Gaining a Competitive Edge,https://pll.harvard.edu/course/advanced-business-strategy-gaining-competitive-edge-0/2026-10,Business,In-Person,"$4,200",,Register by Oct 18,Learn a new framework for developing a business strategy that maximizes your competitive advantage and disrupts the competition.
AI Essentials for Business,https://pll.harvard.edu/course/ai-essentials-business,Business,Online,"$1,850",4 weeks,Available now,
Leading in the Digital Era,https://pll.harvard.edu/course/leading-digital-era,Business,In-Person,"$15,000",1 week,Starts Apr 26,
Core Exercises,https://pll.harvard.edu/course/core-exercises,Health & Medicine,Online,$30,2 weeks,Available now,
Leading More Effective Teams,https://pll.harvard.edu/course/leading-more-effective-teams-0,Business,In-Person,"$3,200",,Register by May 12,Enhance your team’s productivity to boost your organization’s capabilities.
Energy Within Environmental Constraints,https://pll.harvard.edu/course/energy-within-environmental-constraints,Science,Online,Free*,10 weeks,Available now,
Strengthening Business Relationships: Creating Strategic Alliances and Building Trust,https://pll.harvard.edu/course/strengthening-business-relationships-creating-strategic-alliances-and-building-trust-0-0,Business,Online Live,"$2,850",,Register by Oct 6,Foster innovation and creativity by learning new ways to stimulate effective relationships and build powerful alliances.
Making Corporate Boards More Effective,https://pll.harvard.edu/course/making-corporate-boards-more-effective,Business,In-Person,"$13,000",1 week,Starts Jul 15,
Drug Discovery,https://pll.harvard.edu/course/drug-discovery,Health & Medicine,Online,"$1,025",,Register by Apr 7,
Child Protection: Children's Rights in Theory and Practice,https://pll.harvard.edu/course/child-protection-childrens-rights-theory-and-practice,Social Sciences,Online,Free*,16 weeks,Available now,
Entrepreneurship in Emerging Economies,https://pll.harvard.edu/course/entrepreneurship-in-emerging-economies,Business,Online,Free*,6 weeks,Available now,
Evidence for Decisions: From Description to Decisions,https://pll.harvard.edu/course/evidence-decisions-description-decisions,Social Sciences,Online,"$1,149",6 weeks,Register by Mar 12,
AI Strategy for Business Leaders: From Hype to Impact,https://pll.harvard.edu/course/ai-strategy-business-leaders-hype-impact-0/2026-10,Business,In-Person,"$3,200",,Register by Sep 29,Leverage new technologies to build value for your organization.
